Name EN,States Names,Region,Category,Danger,Danger list,Date inscribed,Coordinates
Monuments of Oviedo and the Kingdom of the Asturias,Spain,Europe and North America,Cultural,False,,1985,"43.36262, -5.84303"
Old Town of Segovia and its Aqueduct,Spain,Europe and North America,Cultural,False,,1985,"40.94847222, -4.11675"
Palmeral of Elche,Spain,Europe and North America,Cultural,False,,2000,"38.26666667, -0.716666667"
Poblet Monastery,Spain,Europe and North America,Cultural,False,,1991,"41.38083, 1.0825"
"Paseo del Prado and Buen Retiro, a landscape of Arts and Sciences",Spain,Europe and North America,Cultural,False,,2021,"40.4153333333, -3.6870555556"
Roman Walls of Lugo,Spain,Europe and North America,Cultural,False,,2000,"43.0106407944, -7.5530699413"
Rock Art of the Mediterranean Basin on the Iberian Peninsula,Spain,Europe and North America,Cultural,False,,1998,"39.78995, -1.03331"
San Millán Yuso and Suso Monasteries,Spain,Europe and North America,Cultural,False,,1997,"42.32586, -2.86496"
Old Town of Galle and its Fortifications,Sri Lanka,Asia and the Pacific,Cultural,False,,1988,"6.028051, 80.216346"
Sinharaja Forest Reserve,Sri Lanka,Asia and the Pacific,Natural,False,,1988,"6.416666667, 80.5"
Ancient Jericho/Tell es-Sultan,State of Palestine,Arab States,Cultural,False,,2023,"31.8713055556, 35.4440555556"
Central Suriname Nature Reserve,Suriname,Latin America and the Caribbean,Natural,False,,2000,"4.0, -56.5"
Historic Inner City of Paramaribo,Suriname,Latin America and the Caribbean,Cultural,False,,2002,"5.82611, -55.15"
Engelsberg Ironworks,Sweden,Europe and North America,Cultural,False,,1993,"59.97, 16.01"
Hanseatic Town of Visby,Sweden,Europe and North America,Cultural,False,,1995,"57.64167, 18.29583"
Laponian Area,Sweden,Europe and North America,Mixed,False,,1996,"67.33333, 17.58333"
Mining Area of the Great Copper Mountain in Falun,Sweden,Europe and North America,Cultural,False,,2001,"60.60472, 15.63083"
Rock Carvings in Tanum,Sweden,Europe and North America,Cultural,False,,1994,"58.70111, 11.34111"
Benedictine Convent of St John at Müstair,Switzerland,Europe and North America,Cultural,False,,1983,"46.62945, 10.44765"
"La Chaux-de-Fonds / Le Locle, Watchmaking Town Planning",Switzerland,Europe and North America,Cultural,False,,2009,"47.1038888889, 6.8327777778"
Ancient Villages of Northern Syria,Syrian Arab Republic,Arab States,Cultural,True,Y 2013,2011,"36.3341666667, 36.8441666667"
Ancient City of Bosra,Syrian Arab Republic,Arab States,Cultural,True,Y 2013,1980,"32.5191666667, 36.4841666667"
Tajik National Park (Mountains of the Pamirs),Tajikistan,Asia and the Pacific,Natural,False,,2013,"38.765, 72.3052777778"
Tugay forests of the Tigrovaya Balka Nature Reserve,Tajikistan,Asia and the Pacific,Natural,False,,2023,"37.2047222222, 68.3413888889"
Ban Chiang Archaeological Site,Thailand,Asia and the Pacific,Cultural,False,,1992,"17.407772, 103.237589"
Historic Town of Sukhothai and Associated Historic Towns,Thailand,Asia and the Pacific,Cultural,False,,1991,"17.00722, 99.78972"
Dong Phayayen-Khao Yai Forest Complex,Thailand,Asia and the Pacific,Natural,False,,2005,"14.33, 102.05"
Historic City of Ayutthaya,Thailand,Asia and the Pacific,Cultural,False,,1991,"14.34778, 100.56056"
The Ancient Town of Si Thep and its Associated Dvaravati Monuments,Thailand,Asia and the Pacific,Cultural,False,,2023,"15.4658166667, 101.1511138889"
Dougga / Thugga,Tunisia,Arab States,Cultural,False,,1997,"36.42361, 9.22028"
Kairouan,Tunisia,Arab States,Cultural,False,,1988,"35.68167, 10.10389"
Archaeological Site of Troy,Türkiye,Europe and North America,Cultural,False,,1998,"39.95644, 26.239"
Arslantepe Mound,Türkiye,Europe and North America,Cultural,False,,2021,"38.3822, 38.3610916667"
City of Safranbolu,Türkiye,Europe and North America,Cultural,False,,1994,"41.26, 32.68972"
Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,Türkiye,Europe and North America,Cultural,False,,2015,"37.9031, 40.2393083333"
Hattusha: the Hittite Capital,Türkiye,Europe and North America,Cultural,False,,1986,"40.01389, 34.62056"
Nemrut Dağ,Türkiye,Europe and North America,Cultural,False,,1987,"38.03661, 38.76369"
Hierapolis-Pamukkale,Türkiye,Europe and North America,Mixed,False,,1988,"37.92389, 29.12333"
Neolithic Site of Çatalhöyük,Türkiye,Europe and North America,Cultural,False,,2012,"37.6666666667, 32.8280555556"
